Il y a 1953 genres nommés différemment
['rock', 197]
['soft rock', 183]
['new wave pop', 172]
['alternative metal', 169]
['r&b', 169]
['classic rock', 166]
['singer-songwriter', 163]
['contemporary r&b', 162]
['indietronica', 159]
['country', 158]
['alternative rock', 152]
['album rock', 152]
['indie rock', 152]
['country road', 152]
['urban contemporary', 149]
['hard rock', 148]
['mellow gold', 142]
['modern rock', 134]
['pop', 133]
['post-grunge', 132]
['contemporary country', 127]
['soul', 126]
['chamber pop', 125]
['new romantic', 125]
['nu metal', 120]
['country rock', 118]
['hip hop', 118]
['shimmer pop', 118]
['dance pop', 115]
['metalcore', 115]
['stomp and holler', 112]
['metropopolis', 110]
['pop punk', 109]
['electronica', 108]
['edm', 104]
['pop rock', 103]
['melodic metalcore', 102]
['trap', 102]
['folk rock', 101]
['metal', 100]
['neon pop punk', 100]
['pop dance', 100]
['classic soul', 99]
['dirty south rap', 97]
['heartland rock', 95]
['rap', 95]
['east coast hip hop', 94]
['funk', 94]
['punk', 92]
['electro house', 92]
['quiet storm', 92]
['new wave', 91]
['southern hip hop', 91]
['britpop', 91]
['disco', 90]
['glam metal', 89]
['folk', 89]
['new jack swing', 89]
['noise pop', 88]
['art pop', 87]
['hip pop', 87]
['permanent wave', 86]
['modern alternative rock', 82]
['blues rock', 81]
['indie poptimism', 81]
['alternative hip hop', 79]
['rock-and-roll', 78]
['trip hop', 77]
['screamo', 77]
['melancholia', 76]
['pop rap', 75]
['alternative dance', 75]
['synthpop', 75]
['neo mellow', 74]
['indie folk', 71]
['neo-synthpop', 70]
['chillwave', 68]
['australian indie', 68]
['eurodance', 68]
['emo', 66]
['neo soul', 66]
['acoustic pop', 66]
['classic country pop', 65]
['atl hip hop', 65]
['jazz', 65]
['hardcore hip hop', 63]
['new americana', 63]
['southern soul', 63]
['progressive electro house', 63]
['dance-punk', 62]
['industrial metal', 61]
['adult standards', 61]
['conscious hip hop', 60]
['blues', 60]
['modern blues rock', 59]
['motown', 58]
['new rave', 57]
['power metal', 56]
['psychedelic rock', 55]
['lilith', 55]
['modern country rock', 55]
['vocal jazz', 55]
['garage rock', 54]
['la indie', 54]
['southern rock', 53]
['nu disco', 53]
['post-teen pop', 53]
['gangster rap', 51]
['post-hardcore', 51]
['brooklyn indie', 50]
['skate punk', 50]
['pov: indie', 50]
['electric blues', 50]
['piano rock', 49]
['doo-wop', 49]
['pixie', 48]
['indie soul', 48]
['europop', 47]
['electropop', 46]
['classic texas country', 46]
['groove metal', 45]
['bubblegum pop', 45]
['downtempo', 45]
['hip house', 45]
['dream pop', 44]
['house', 44]
['post-disco', 44]
['progressive house', 44]
['traditional blues', 44]
['bebop', 44]
['west coast rap', 43]
['folk-pop', 43]
['talent show', 43]
['dance rock', 42]
['ska', 42]
['country dawn', 42]
['alternative country', 42]
['dutch house', 42]
['speed metal', 41]
['shoegaze', 41]
['symphonic metal', 41]
['escape room', 41]
['gymcore', 41]
['boy band', 41]
['underground hip hop', 41]
['rockabilly', 41]
['filter house', 40]
['wonky', 40]
['alternative r&b', 40]
['pop emo', 40]
['ectofolk', 40]
['alternative emo', 40]
['german techno', 40]
['canadian indie', 39]
['grunge', 39]
['uk dance', 39]
['yacht rock', 38]
['melodic death metal', 38]
['brostep', 38]
['australian rock', 37]
['roots rock', 37]
['outlaw country', 37]
['reggae fusion', 37]
['jam band', 37]
['modern blues', 37]
['contemporary post-bop', 37]
['protopunk', 36]
['lo-fi', 36]
['stoner rock', 36]
['funk metal', 35]
['rap metal', 35]
['neo-psychedelic', 35]
['sophisti-pop', 35]
['compositional ambient', 35]
['pop edm', 35]
['classic garage rock', 34]
['post-rock', 34]
['deathcore', 34]
['electrofox', 34]
['candy pop', 34]
['progressive rock', 34]
['old school hip hop', 34]
['rhythm and blues', 34]
['future garage', 33]
['indie punk', 33]
['post-punk', 33]
['stoner metal', 33]
['djent', 33]
['power pop', 33]
['dreamo', 33]
['scottish rock', 33]
['british invasion', 33]
['uk pop', 33]
['canadian pop', 33]
['hardcore punk', 32]
['british indie rock', 32]
['vapor pop', 32]
['indie pop rap', 32]
['reggae', 32]
['instrumental post-rock', 32]
['death metal', 31]
['glam rock', 31]
['ska punk', 31]
['hard alternative', 31]
['girl group', 31]
['freestyle', 31]
['country pop', 31]
['diva house', 31]
['thrash metal', 30]
['easy listening', 30]
['trancecore', 30]
['abstract hip hop', 30]
['p funk', 30]
['australian pop', 30]
['complextro', 30]
['vapor soul', 30]
['gothic metal', 29]
['modern folk rock', 29]
['canadian rock', 29]
['noise rock', 29]
['australian alternative rock', 29]
['jazz funk', 29]
['minimal techno', 29]
['jazz saxophone', 29]
['experimental pop', 28]
['crunk', 28]
['g funk', 28]
['funk rock', 28]
['hopebeat', 28]
['instrumental hip hop', 28]
['intelligent dance music', 28]
['christian rock', 28]
['art rock', 28]
['pop r&b', 28]
['uk post-punk', 27]
['indie pop', 27]
['philly indie', 27]
['chicago rap', 27]
['jazz piano', 27]
['baroque pop', 26]
['nu gaze', 26]
['british alternative rock', 26]
['black metal', 26]
['roots reggae', 26]
['progressive bluegrass', 26]
['grime', 26]
['uk hip hop', 26]
['indie anthem-folk', 26]
['english indie rock', 25]
['modern hard rock', 25]
['canadian country', 25]
['british soul', 25]
['filthstep', 25]
['deep tropical house', 25]
['dancehall', 25]
['bay area indie', 24]
['alt z', 24]
['gauze pop', 24]
['big beat', 24]
['swedish metal', 24]
['bubblegrunge', 24]
['glitch hop', 24]
['christian alternative rock', 24]
['viral pop', 24]
['nashville sound', 24]
['gaming edm', 24]
['contemporary vocal jazz', 24]
['hard bop', 24]
['rap rock', 23]
['indie surf', 23]
['nu jazz', 23]
['philly soul', 23]
['progressive metal', 23]
['australian dance', 23]
['acoustic blues', 23]
['smooth jazz', 23]
['political hip hop', 22]
['queens hip hop', 22]
['industrial rock', 22]
['instrumental rock', 22]
['german metal', 22]
['etherpop', 22]
['experimental rock', 22]
['progressive post-hardcore', 22]
['la pop', 22]
['solo wave', 22]
['trap queen', 22]
['canadian electronic', 22]
['red dirt', 22]
['vapor twitch', 22]
['balearic', 21]
['canadian singer-songwriter', 21]
['symphonic rock', 21]
['classic canadian rock', 21]
['reggae rock', 21]
['garage rock revival', 20]
['riot grrrl', 20]
['zolo', 20]
['indie garage rock', 20]
['sludge metal', 20]
['british blues', 20]
['canadian metal', 20]
['swedish alternative rock', 20]
['scottish indie', 20]
['canadian contemporary country', 20]
['soundtrack', 20]
['old school atlanta hip hop', 19]
['gothic symphonic metal', 19]
['detroit hip hop', 19]
['swedish electropop', 19]
['swedish indie pop', 19]
['chicano rap', 19]
['breakbeat', 19]
['boston rock', 19]
['miami hip hop', 19]
['melodic hardcore', 19]
['golden age hip hop', 19]
['uk alternative pop', 19]
['modern dream pop', 19]
['madchester', 19]
['anthem emo', 19]
['canadian hip hop', 19]
['electronic trap', 19]
['neo r&b', 19]
['jazz trumpet', 19]
['old school thrash', 18]
['post-screamo', 18]
['christian metal', 18]
['irish rock', 18]
['grave wave', 18]
['lgbtq+ hip hop', 18]
['quebec indie', 18]
