Il y a 881 genres nommés différemment
['rock', 2984]
['pop', 2676]
['metal', 1450]
['country', 1018]
['soul', 594]
['rap', 543]
['blues', 518]
['jazz', 498]
['folk', 495]
['punk', 462]
['r&b', 425]
['house', 415]
['hardcore', 301]
['metalcore', 292]
['funk', 252]
['disco', 219]
['electro', 183]
['trap', 182]
['grunge', 177]
['synthpop', 169]
['indietronica', 163]
['singer-songwriter', 163]
['emo', 163]
['urban contemporary', 149]
['reggae', 143]
['mellow gold', 142]
['edm', 139]
['new romantic', 125]
['swing', 120]
['hip hop', 118]
['electronica', 117]
['stomp and holler', 112]
['metropopolis', 110]
['electropop', 106]
['experimental', 100]
['screamo', 96]
['industrial', 96]
['techno', 96]
['east coast hip hop', 94]
['britpop', 92]
['quiet storm', 92]
['new wave', 91]
['southern hip hop', 91]
['permanent wave', 86]
['ska', 86]
['ambient', 84]
['indie poptimism', 81]
['alternative hip hop', 79]
['trip hop', 77]
['melancholia', 76]
['alternative dance', 75]
['neo mellow', 74]
['eurodance', 70]
['chillwave', 68]
['australian indie', 68]
['atl hip hop', 65]
['rave', 65]
['new americana', 63]
['adult standards', 61]
['conscious hip hop', 60]
['motown', 58]
['lilith', 55]
['soundtrack', 55]
['la indie', 54]
['shoegaze', 52]
['deathcore', 52]
['brooklyn indie', 50]
['pov: indie', 50]
['downtempo', 49]
['trance', 49]
['doo-wop', 49]
['pixie', 48]
['europop', 47]
['dancehall', 46]
['rockabilly', 44]
['tropical', 44]
['bebop', 44]
['talent show', 43]
['escape room', 41]
['gymcore', 41]
['boy band', 41]
['underground hip hop', 41]
['wonky', 40]
['ectofolk', 40]
['bluegrass', 40]
['canadian indie', 39]
['djent', 39]
['uk dance', 39]
['glitch', 39]
['classical', 38]
['brostep', 38]
['jam band', 37]
['contemporary post-bop', 37]
['protopunk', 36]
['lo-fi', 36]
['abstract', 36]
['neo-psychedelic', 35]
['electrofox', 34]
['old school hip hop', 34]
['future garage', 33]
['dreamo', 33]
['british invasion', 33]
['hard alternative', 31]
['girl group', 31]
['freestyle', 31]
['comic', 30]
['easy listening', 30]
['trancecore', 30]
['complextro', 30]
['grime', 30]
['crunk', 28]
['hopebeat', 28]
['instrumental hip hop', 28]
['intelligent dance music', 28]
['philly indie', 27]
['dubstep', 27]
['celtic', 26]
['nu gaze', 26]
['uk hip hop', 26]
['filthstep', 25]
['bay area indie', 24]
['alt z', 24]
['big beat', 24]
['bubblegrunge', 24]
['nashville sound', 24]
['hard bop', 24]
['indie surf', 23]
['australian dance', 23]
['political hip hop', 22]
['queens hip hop', 22]
['etherpop', 22]
['solo wave', 22]
['canadian electronic', 22]
['drill', 22]
['red dirt', 22]
['vapor twitch', 22]
['balearic', 21]
['canadian singer-songwriter', 21]
['riot grrrl', 20]
['zolo', 20]
['scottish indie', 20]
['bounce', 20]
['old school atlanta hip hop', 19]
['detroit hip hop', 19]
['breakbeat', 19]
['miami hip hop', 19]
['golden age hip hop', 19]
['madchester', 19]
['canadian hip hop', 19]
['old school thrash', 18]
['grave wave', 18]
['lgbtq+ hip hop', 18]
['quebec indie', 18]
['drone', 18]
['lounge', 18]
['bubblegum dance', 18]
['easycore', 17]
['new jersey indie', 17]
['merseybeat', 17]
['jazztronica', 17]
['chamber psych', 17]
['classic girl group', 17]
['supergroup', 16]
['austindie', 16]
['chicago indie', 16]
['minneapolis sound', 16]
['big room', 16]
['idol', 16]
['portland indie', 15]
['beatlesque', 15]
['orgcore', 15]
['bronx hip hop', 15]
['surf music', 15]
['drum and bass', 15]
['scottish new wave', 15]
['seattle indie', 14]
['oakland hip hop', 14]
['slowcore', 14]
['vancouver indie', 14]
['brighton indie', 14]
['aussietronica', 14]
['microhouse', 14]
['bboy', 14]
['hands up', 14]
['harlem hip hop', 13]
['garage psych', 13]
['ebm', 13]
['afrofuturism', 12]
['psychedelic hip hop', 12]
['swedish melodeath', 12]
['double drumming', 12]
['popgaze', 12]
['chillstep', 12]
['redneck', 12]
['hamburg electronic', 12]
['turntablism', 12]
['british singer-songwriter', 12]
['synthwave', 12]
['hyphy', 11]
['memphis hip hop', 11]
['toronto indie', 11]
['deathgrind', 11]
['electroclash', 11]
['slayer', 11]
['miami bass', 11]
['electropowerpop', 11]
['torch song', 11]
['hi-nrg', 11]
['electra', 11]
['dub', 11]
['sky room', 11]
['stomp and flutter', 11]
['finnish melodeath', 11]
['future bass', 11]
['cowboy western', 10]
['australian hip hop', 10]
['crossover thrash', 10]
['sacramento indie', 10]
['livetronica', 10]
['folktronica', 10]
['oxford indie', 10]
['sheffield indie', 10]
['north carolina hip hop', 10]
['rhode island indie', 10]
['dancefloor dnb', 10]
['futuristic swag', 10]
['banjo', 10]
['nashville indie', 9]
['no wave', 9]
['indie rockism', 9]
['alternative americana', 9]
['gothenburg indie', 9]
['minnesota hip hop', 9]
['spectra', 9]
['irish singer-songwriter', 9]
['funktronica', 9]
['cyberpunk', 9]
['nintendocore', 9]
['new french touch', 9]
['classic hardstyle', 9]
['deep underground hip hop', 9]
['vocal harmony group', 9]
['crank wave', 8]
['new weird america', 8]
['horrorcore', 8]
['countrygaze', 8]
['nyhc', 8]
['shred', 8]
['shimmer psych', 8]
['psychobilly', 8]
['uk americana', 8]
['canadian old school hip hop', 8]
['german dance', 8]
['north carolina roots', 8]
['harlem renaissance', 8]
['ohio hip hop', 8]
['pastoral', 8]
['euphoric hardstyle', 8]
['jungle', 8]
['heavy alternative', 7]
['el paso indie', 7]
['afropop', 7]
['scottish hush', 7]
['progressive alternative', 7]
['olympia wa indie', 7]
['mod revival', 7]
['gbvfi', 7]
['baltimore indie', 7]
['christian music', 7]
['eau claire indie', 7]
['omaha indie', 7]
['palm desert scene', 7]
['ccm', 7]
['chicago bop', 7]
['popping', 7]
['cosmic american', 7]
['novelty', 7]
['c86', 7]
['black americana', 7]
['liverpool indie', 7]
['otacore', 7]
['epicore', 7]
['electric bass', 7]
['afrobeat', 7]
['jamgrass', 7]
['italo dance', 7]
['deep talent show', 7]
['welsh indie', 6]
['athens indie', 6]
['world', 6]
['neo-singer-songwriter', 6]
['psychedelic doom', 6]
