Sorted_genres,count
pop,1378
rock,989
metal,413
country,380
hip hop,329
rap,298
r&b,256
punk,251
soul,198
house,173
jazz,162
electro,161
folk,93
hardcore,90
blues,88
funk,82
disco,71
eurodance,56
indie pop,52
reggae,51
indie rock,48
emo,46
australian indie,45
gymcore,36
swing,33
singer-songwriter,32
techno,32
new americana,32
melancholia,31
stomp and holler,31
doo-wop,30
dancehall,29
tropical,28
new wave,26
electropop,25
trance,25
trip hop,24
edm,24
pov: indie,22
new romantic,20
soundtrack,20
comic,20
grunge,20
uk dance,19
la indie,19
freestyle,19
jam band,18
grime,18
brooklyn indie,18
british invasion,18
industrial,18
dubstep,17
ambient,16
australian dance,16
classical,16
ska,15
contemporary r&b,15
rave,15
talent show,14
indie surf,14
oi,14
screamo,13
shoegaze,13
drum and bass,12
lounge,12
adult standards,12
deathcore,12
quebec indie,11
motown,11
scottish indie,10
portland indie,10
indietronica,10
boy band,10
aussietronica,10
post-rock,10
dream pop,10
glitch,9
turntablism,9
metalcore,9
nashville indie,9
surf music,8
canadian rock,8
neo mellow,8
vapor twitch,8
chillwave,8
electro house,8
synthwave,7
nashville sound,7
chicago indie,7
lilith,7
heavy alternative,7
blues rock,7
escape room,7
austindie,7
miami bass,7
canadian indie,7
hard alternative,7
experimental,6
alternative americana,6
ai,6
shimmer psych,6
toronto indie,6
nu gaze,6
power pop,6
djent,6
bluegrass,6
afrobeat,6
alt z,5
lo-fi,5
minneapolis indie,5
girl group,5
pixel,5
wonky,5
icelandic indie,5
horrorcore,5
pixie,5
garage psych,5
breakbeat,5
downtempo,5
epicore,5
idol,5
chillstep,5
future bass,5
supergroup,5
filthstep,5
novelty,5
intelligent dance music,5
sacramento indie,5
slayer,5
charlotte nc indie,5
focus,4
relaxative,4
oxford indie,4
synthpop,4
dub,4
utah indie,4
drill,4
beatlesque,4
new french touch,4
bay area indie,4
gregorian dance,4
rawstyle,4
stomp and flutter,4
vocal jazz,4
philly indie,4
vancouver indie,4
