Title,track_id,track_features,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Lose Yourself,5Z01UMMf7V1o0MzF86s6WJ,"{'danceability': 0.692, 'energy': 0.744, 'key': 2, 'loudness': -4.565, 'mode': 1, 'speechiness': 0.257, 'acousticness': 0.00868, 'instrumentalness': 0.000423, 'liveness': 0.359, 'valence': 0.0612, 'tempo': 171.374, 'type': 'audio_features', 'id': '5Z01UMMf7V1o0MzF86s6WJ', 'uri': 'spotify:track:5Z01UMMf7V1o0MzF86s6WJ', 'track_href': 'https://api.spotify.com/v1/tracks/5Z01UMMf7V1o0MzF86s6WJ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5Z01UMMf7V1o0MzF86s6WJ', 'duration_ms': 326467, 'time_signature': 4}",0.692,0.744,2,-4.565,1,0.257,0.00868,0.000423,0.359,0.0612,171.374,audio_features,5Z01UMMf7V1o0MzF86s6WJ,spotify:track:5Z01UMMf7V1o0MzF86s6WJ,https://api.spotify.com/v1/tracks/5Z01UMMf7V1o0MzF86s6WJ,https://api.spotify.com/v1/audio-analysis/5Z01UMMf7V1o0MzF86s6WJ,326467,4
Second Handed Man,4VIY4opsKCXCvwNv9qm7NW,"{'danceability': 0.635, 'energy': 0.221, 'key': 3, 'loudness': -12.52, 'mode': 1, 'speechiness': 0.226, 'acousticness': 0.983, 'instrumentalness': 0, 'liveness': 0.197, 'valence': 0.691, 'tempo': 93.261, 'type': 'audio_features', 'id': '4VIY4opsKCXCvwNv9qm7NW', 'uri': 'spotify:track:4VIY4opsKCXCvwNv9qm7NW', 'track_href': 'https://api.spotify.com/v1/tracks/4VIY4opsKCXCvwNv9qm7NW', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4VIY4opsKCXCvwNv9qm7NW', 'duration_ms': 170093, 'time_signature': 4}",0.635,0.221,3,-12.52,1,0.226,0.983,0.0,0.197,0.691,93.261,audio_features,4VIY4opsKCXCvwNv9qm7NW,spotify:track:4VIY4opsKCXCvwNv9qm7NW,https://api.spotify.com/v1/tracks/4VIY4opsKCXCvwNv9qm7NW,https://api.spotify.com/v1/audio-analysis/4VIY4opsKCXCvwNv9qm7NW,170093,4
Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,"{'danceability': 0.514, 'energy': 0.73, 'key': 1, 'loudness': -5.934, 'mode': 1, 'speechiness': 0.0598, 'acousticness': 0.00146, 'instrumentalness': 9.54e-05, 'liveness': 0.0897, 'valence': 0.334, 'tempo': 171.005, 'type': 'audio_features', 'id': '0VjIjW4GlUZAMYd2vXMi3b', 'uri': 'spotify:track:0VjIjW4GlUZAMYd2vXMi3b', 'track_href': 'https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b', 'duration_ms': 200040, 'time_signature': 4}",0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,audio_features,0VjIjW4GlUZAMYd2vXMi3b,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b,200040,4
I Fall in Love Too Easily,0F845nujLVqCb0XMZCh5Pc,"{'danceability': 0.532, 'energy': 0.0657, 'key': 0, 'loudness': -19.136, 'mode': 0, 'speechiness': 0.0406, 'acousticness': 0.94, 'instrumentalness': 0.00488, 'liveness': 0.0946, 'valence': 0.292, 'tempo': 128.607, 'type': 'audio_features', 'id': '0F845nujLVqCb0XMZCh5Pc', 'uri': 'spotify:track:0F845nujLVqCb0XMZCh5Pc', 'track_href': 'https://api.spotify.com/v1/tracks/0F845nujLVqCb0XMZCh5Pc', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0F845nujLVqCb0XMZCh5Pc', 'duration_ms': 201440, 'time_signature': 4}",0.532,0.0657,0,-19.136,0,0.0406,0.94,0.00488,0.0946,0.292,128.607,audio_features,0F845nujLVqCb0XMZCh5Pc,spotify:track:0F845nujLVqCb0XMZCh5Pc,https://api.spotify.com/v1/tracks/0F845nujLVqCb0XMZCh5Pc,https://api.spotify.com/v1/audio-analysis/0F845nujLVqCb0XMZCh5Pc,201440,4
Riding With the King,0U6wNkZaQUTBrCLbhbbRgS,"{'danceability': 0.46, 'energy': 0.796, 'key': 9, 'loudness': -6.202, 'mode': 1, 'speechiness': 0.0335, 'acousticness': 0.383, 'instrumentalness': 0, 'liveness': 0.258, 'valence': 0.826, 'tempo': 204.032, 'type': 'audio_features', 'id': '0U6wNkZaQUTBrCLbhbbRgS', 'uri': 'spotify:track:0U6wNkZaQUTBrCLbhbbRgS', 'track_href': 'https://api.spotify.com/v1/tracks/0U6wNkZaQUTBrCLbhbbRgS', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0U6wNkZaQUTBrCLbhbbRgS', 'duration_ms': 264240, 'time_signature': 4}",0.46,0.796,9,-6.202,1,0.0335,0.383,0.0,0.258,0.826,204.032,audio_features,0U6wNkZaQUTBrCLbhbbRgS,spotify:track:0U6wNkZaQUTBrCLbhbbRgS,https://api.spotify.com/v1/tracks/0U6wNkZaQUTBrCLbhbbRgS,https://api.spotify.com/v1/audio-analysis/0U6wNkZaQUTBrCLbhbbRgS,264240,4
Spoonful,29bQPrp6BT0w3kaXTqIo8A,"{'danceability': 0.48, 'energy': 0.39, 'key': 5, 'loudness': -14.253, 'mode': 1, 'speechiness': 0.149, 'acousticness': 0.743, 'instrumentalness': 1.75e-05, 'liveness': 0.137, 'valence': 0.642, 'tempo': 110.7, 'type': 'audio_features', 'id': '29bQPrp6BT0w3kaXTqIo8A', 'uri': 'spotify:track:29bQPrp6BT0w3kaXTqIo8A', 'track_href': 'https://api.spotify.com/v1/tracks/29bQPrp6BT0w3kaXTqIo8A', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/29bQPrp6BT0w3kaXTqIo8A', 'duration_ms': 249040, 'time_signature': 4}",0.48,0.39,5,-14.253,1,0.149,0.743,1.75e-05,0.137,0.642,110.7,audio_features,29bQPrp6BT0w3kaXTqIo8A,spotify:track:29bQPrp6BT0w3kaXTqIo8A,https://api.spotify.com/v1/tracks/29bQPrp6BT0w3kaXTqIo8A,https://api.spotify.com/v1/audio-analysis/29bQPrp6BT0w3kaXTqIo8A,249040,4
Gloomy Sunday (with Teddy Wilson & His Orchestra) - Take 1,41CHb7F7SXcmkj0h8wekeF,"{'danceability': 0.484, 'energy': 0.0823, 'key': 7, 'loudness': -11.273, 'mode': 0, 'speechiness': 0.0364, 'acousticness': 0.98, 'instrumentalness': 2.47e-06, 'liveness': 0.159, 'valence': 0.191, 'tempo': 127.089, 'type': 'audio_features', 'id': '41CHb7F7SXcmkj0h8wekeF', 'uri': 'spotify:track:41CHb7F7SXcmkj0h8wekeF', 'track_href': 'https://api.spotify.com/v1/tracks/41CHb7F7SXcmkj0h8wekeF', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/41CHb7F7SXcmkj0h8wekeF', 'duration_ms': 190800, 'time_signature': 3}",0.484,0.0823,7,-11.273,0,0.0364,0.98,2.47e-06,0.159,0.191,127.089,audio_features,41CHb7F7SXcmkj0h8wekeF,spotify:track:41CHb7F7SXcmkj0h8wekeF,https://api.spotify.com/v1/tracks/41CHb7F7SXcmkj0h8wekeF,https://api.spotify.com/v1/audio-analysis/41CHb7F7SXcmkj0h8wekeF,190800,3
Suzanne,2L93TdW2GMue1H2zlkt30F,"{'danceability': 0.409, 'energy': 0.172, 'key': 6, 'loudness': -16.44, 'mode': 0, 'speechiness': 0.0389, 'acousticness': 0.922, 'instrumentalness': 0.00112, 'liveness': 0.111, 'valence': 0.352, 'tempo': 132.151, 'type': 'audio_features', 'id': '2L93TdW2GMue1H2zlkt30F', 'uri': 'spotify:track:2L93TdW2GMue1H2zlkt30F', 'track_href': 'https://api.spotify.com/v1/tracks/2L93TdW2GMue1H2zlkt30F', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2L93TdW2GMue1H2zlkt30F', 'duration_ms': 229293, 'time_signature': 4}",0.409,0.172,6,-16.44,0,0.0389,0.922,0.00112,0.111,0.352,132.151,audio_features,2L93TdW2GMue1H2zlkt30F,spotify:track:2L93TdW2GMue1H2zlkt30F,https://api.spotify.com/v1/tracks/2L93TdW2GMue1H2zlkt30F,https://api.spotify.com/v1/audio-analysis/2L93TdW2GMue1H2zlkt30F,229293,4
Symphony No. 5,0ZN01wuIdn4iT8VBggkOMm,"{'danceability': 0.293, 'energy': 0.25, 'key': 0, 'loudness': -16.766, 'mode': 0, 'speechiness': 0.0452, 'acousticness': 0.884, 'instrumentalness': 0.907, 'liveness': 0.243, 'valence': 0.158, 'tempo': 87.682, 'type': 'audio_features', 'id': '0ZN01wuIdn4iT8VBggkOMm', 'uri': 'spotify:track:0ZN01wuIdn4iT8VBggkOMm', 'track_href': 'https://api.spotify.com/v1/tracks/0ZN01wuIdn4iT8VBggkOMm', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0ZN01wuIdn4iT8VBggkOMm', 'duration_ms': 485293, 'time_signature': 4}",0.293,0.25,0,-16.766,0,0.0452,0.884,0.907,0.243,0.158,87.682,audio_features,0ZN01wuIdn4iT8VBggkOMm,spotify:track:0ZN01wuIdn4iT8VBggkOMm,https://api.spotify.com/v1/tracks/0ZN01wuIdn4iT8VBggkOMm,https://api.spotify.com/v1/audio-analysis/0ZN01wuIdn4iT8VBggkOMm,485293,4
Zombie,7EZC6E7UjZe63f1jRmkWxt,"{'danceability': 0.309, 'energy': 0.649, 'key': 7, 'loudness': -8.994, 'mode': 1, 'speechiness': 0.035, 'acousticness': 0.0158, 'instrumentalness': 0.00591, 'liveness': 0.367, 'valence': 0.312, 'tempo': 166.915, 'type': 'audio_features', 'id': '7EZC6E7UjZe63f1jRmkWxt', 'uri': 'spotify:track:7EZC6E7UjZe63f1jRmkWxt', 'track_href': 'https://api.spotify.com/v1/tracks/7EZC6E7UjZe63f1jRmkWxt', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7EZC6E7UjZe63f1jRmkWxt', 'duration_ms': 306440, 'time_signature': 4}",0.309,0.649,7,-8.994,1,0.035,0.0158,0.00591,0.367,0.312,166.915,audio_features,7EZC6E7UjZe63f1jRmkWxt,spotify:track:7EZC6E7UjZe63f1jRmkWxt,https://api.spotify.com/v1/tracks/7EZC6E7UjZe63f1jRmkWxt,https://api.spotify.com/v1/audio-analysis/7EZC6E7UjZe63f1jRmkWxt,306440,4
Hey Jude,0aym2LBJBk9DAYuHHutrIl,"{'danceability': 0.386, 'energy': 0.607, 'key': 10, 'loudness': -7.7, 'mode': 1, 'speechiness': 0.0261, 'acousticness': 0.0112, 'instrumentalness': 1.38e-05, 'liveness': 0.088, 'valence': 0.532, 'tempo': 147.207, 'type': 'audio_features', 'id': '0aym2LBJBk9DAYuHHutrIl', 'uri': 'spotify:track:0aym2LBJBk9DAYuHHutrIl', 'track_href': 'https://api.spotify.com/v1/tracks/0aym2LBJBk9DAYuHHutrIl', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0aym2LBJBk9DAYuHHutrIl', 'duration_ms': 425653, 'time_signature': 4}",0.386,0.607,10,-7.7,1,0.0261,0.0112,1.38e-05,0.088,0.532,147.207,audio_features,0aym2LBJBk9DAYuHHutrIl,spotify:track:0aym2LBJBk9DAYuHHutrIl,https://api.spotify.com/v1/tracks/0aym2LBJBk9DAYuHHutrIl,https://api.spotify.com/v1/audio-analysis/0aym2LBJBk9DAYuHHutrIl,425653,4
Juicy,2AP7m2dBb8ULTx4Gc1rdMc,"{'danceability': 0.887, 'energy': 0.767, 'key': 9, 'loudness': -4.311, 'mode': 1, 'speechiness': 0.295, 'acousticness': 0.38, 'instrumentalness': 0, 'liveness': 0.0527, 'valence': 0.607, 'tempo': 97.437, 'type': 'audio_features', 'id': '2AP7m2dBb8ULTx4Gc1rdMc', 'uri': 'spotify:track:2AP7m2dBb8ULTx4Gc1rdMc', 'track_href': 'https://api.spotify.com/v1/tracks/2AP7m2dBb8ULTx4Gc1rdMc', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2AP7m2dBb8ULTx4Gc1rdMc', 'duration_ms': 285760, 'time_signature': 4}",0.887,0.767,9,-4.311,1,0.295,0.38,0.0,0.0527,0.607,97.437,audio_features,2AP7m2dBb8ULTx4Gc1rdMc,spotify:track:2AP7m2dBb8ULTx4Gc1rdMc,https://api.spotify.com/v1/tracks/2AP7m2dBb8ULTx4Gc1rdMc,https://api.spotify.com/v1/audio-analysis/2AP7m2dBb8ULTx4Gc1rdMc,285760,4
Nature Boy,2WMyu5IYgxEuCd6xgFgJrl,"{'danceability': 0.203, 'energy': 0.0895, 'key': 2, 'loudness': -19.755, 'mode': 0, 'speechiness': 0.0404, 'acousticness': 0.971, 'instrumentalness': 0.0213, 'liveness': 0.108, 'valence': 0.115, 'tempo': 173.451, 'type': 'audio_features', 'id': '2WMyu5IYgxEuCd6xgFgJrl', 'uri': 'spotify:track:2WMyu5IYgxEuCd6xgFgJrl', 'track_href': 'https://api.spotify.com/v1/tracks/2WMyu5IYgxEuCd6xgFgJrl', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2WMyu5IYgxEuCd6xgFgJrl', 'duration_ms': 173533, 'time_signature': 1}",0.203,0.0895,2,-19.755,0,0.0404,0.971,0.0213,0.108,0.115,173.451,audio_features,2WMyu5IYgxEuCd6xgFgJrl,spotify:track:2WMyu5IYgxEuCd6xgFgJrl,https://api.spotify.com/v1/tracks/2WMyu5IYgxEuCd6xgFgJrl,https://api.spotify.com/v1/audio-analysis/2WMyu5IYgxEuCd6xgFgJrl,173533,1
Me and Bobby McGee,1IqFh00G2kvvMm8pRMpehA,"{'danceability': 0.43, 'energy': 0.463, 'key': 2, 'loudness': -10.96, 'mode': 1, 'speechiness': 0.0442, 'acousticness': 0.303, 'instrumentalness': 5.84e-05, 'liveness': 0.152, 'valence': 0.66, 'tempo': 93.405, 'type': 'audio_features', 'id': '1IqFh00G2kvvMm8pRMpehA', 'uri': 'spotify:track:1IqFh00G2kvvMm8pRMpehA', 'track_href': 'https://api.spotify.com/v1/tracks/1IqFh00G2kvvMm8pRMpehA', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1IqFh00G2kvvMm8pRMpehA', 'duration_ms': 271333, 'time_signature': 4}",0.43,0.463,2,-10.96,1,0.0442,0.303,5.84e-05,0.152,0.66,93.405,audio_features,1IqFh00G2kvvMm8pRMpehA,spotify:track:1IqFh00G2kvvMm8pRMpehA,https://api.spotify.com/v1/tracks/1IqFh00G2kvvMm8pRMpehA,https://api.spotify.com/v1/audio-analysis/1IqFh00G2kvvMm8pRMpehA,271333,4
Girl From the North Country,4K1imZQQ0yKtJ40vGmUajS,"{'danceability': 0.607, 'energy': 0.142, 'key': 7, 'loudness': -23.455, 'mode': 1, 'speechiness': 0.0382, 'acousticness': 0.843, 'instrumentalness': 0.000197, 'liveness': 0.121, 'valence': 0.305, 'tempo': 118.867, 'type': 'audio_features', 'id': '4K1imZQQ0yKtJ40vGmUajS', 'uri': 'spotify:track:4K1imZQQ0yKtJ40vGmUajS', 'track_href': 'https://api.spotify.com/v1/tracks/4K1imZQQ0yKtJ40vGmUajS', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4K1imZQQ0yKtJ40vGmUajS', 'duration_ms': 220400, 'time_signature': 4}",0.607,0.142,7,-23.455,1,0.0382,0.843,0.000197,0.121,0.305,118.867,audio_features,4K1imZQQ0yKtJ40vGmUajS,spotify:track:4K1imZQQ0yKtJ40vGmUajS,https://api.spotify.com/v1/tracks/4K1imZQQ0yKtJ40vGmUajS,https://api.spotify.com/v1/audio-analysis/4K1imZQQ0yKtJ40vGmUajS,220400,4
Cry Me a River,7Lf7oSEVdzZqTA0kEDSlS5,"{'danceability': 0.624, 'energy': 0.654, 'key': 8, 'loudness': -6.582, 'mode': 0, 'speechiness': 0.183, 'acousticness': 0.577, 'instrumentalness': 0, 'liveness': 0.104, 'valence': 0.564, 'tempo': 73.898, 'type': 'audio_features', 'id': '7Lf7oSEVdzZqTA0kEDSlS5', 'uri': 'spotify:track:7Lf7oSEVdzZqTA0kEDSlS5', 'track_href': 'https://api.spotify.com/v1/tracks/7Lf7oSEVdzZqTA0kEDSlS5', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7Lf7oSEVdzZqTA0kEDSlS5', 'duration_ms': 288333, 'time_signature': 4}",0.624,0.654,8,-6.582,0,0.183,0.577,0.0,0.104,0.564,73.898,audio_features,7Lf7oSEVdzZqTA0kEDSlS5,spotify:track:7Lf7oSEVdzZqTA0kEDSlS5,https://api.spotify.com/v1/tracks/7Lf7oSEVdzZqTA0kEDSlS5,https://api.spotify.com/v1/audio-analysis/7Lf7oSEVdzZqTA0kEDSlS5,288333,4
Born Under a Bad Sign,0vDn81gdOuRxjbIwcASuiV,"{'danceability': 0.691, 'energy': 0.493, 'key': 11, 'loudness': -10.616, 'mode': 1, 'speechiness': 0.0285, 'acousticness': 0.45, 'instrumentalness': 0.00517, 'liveness': 0.0231, 'valence': 0.801, 'tempo': 91.541, 'type': 'audio_features', 'id': '0vDn81gdOuRxjbIwcASuiV', 'uri': 'spotify:track:0vDn81gdOuRxjbIwcASuiV', 'track_href': 'https://api.spotify.com/v1/tracks/0vDn81gdOuRxjbIwcASuiV', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0vDn81gdOuRxjbIwcASuiV', 'duration_ms': 166560, 'time_signature': 4}",0.691,0.493,11,-10.616,1,0.0285,0.45,0.00517,0.0231,0.801,91.541,audio_features,0vDn81gdOuRxjbIwcASuiV,spotify:track:0vDn81gdOuRxjbIwcASuiV,https://api.spotify.com/v1/tracks/0vDn81gdOuRxjbIwcASuiV,https://api.spotify.com/v1/audio-analysis/0vDn81gdOuRxjbIwcASuiV,166560,4
Water No Get Enemy,2oWex6rYoQ7Bl2D9zG8d3F,"{'danceability': 0.641, 'energy': 0.926, 'key': 10, 'loudness': -7.718, 'mode': 0, 'speechiness': 0.0572, 'acousticness': 0.11, 'instrumentalness': 0.0246, 'liveness': 0.09, 'valence': 0.883, 'tempo': 90.934, 'type': 'audio_features', 'id': '2oWex6rYoQ7Bl2D9zG8d3F', 'uri': 'spotify:track:2oWex6rYoQ7Bl2D9zG8d3F', 'track_href': 'https://api.spotify.com/v1/tracks/2oWex6rYoQ7Bl2D9zG8d3F', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2oWex6rYoQ7Bl2D9zG8d3F', 'duration_ms': 591693, 'time_signature': 4}",0.641,0.926,10,-7.718,0,0.0572,0.11,0.0246,0.09,0.883,90.934,audio_features,2oWex6rYoQ7Bl2D9zG8d3F,spotify:track:2oWex6rYoQ7Bl2D9zG8d3F,https://api.spotify.com/v1/tracks/2oWex6rYoQ7Bl2D9zG8d3F,https://api.spotify.com/v1/audio-analysis/2oWex6rYoQ7Bl2D9zG8d3F,591693,4
