danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.552,0.474,7,-6.847,1,0.0275,0.336,0.0,0.173,0.7,92.156,143693,4
0.788,0.451,1,-9.313,1,0.318,0.118,0.0,0.134,0.302,89.97,271067,4
0.529,0.882,11,-2.962,0,0.0444,0.0208,1.32e-05,0.359,0.179,119.974,286640,4
0.462,0.677,6,-9.262,1,0.0327,0.00786,7.15e-05,0.226,0.468,172.192,234333,4
0.754,0.804,4,-3.177,1,0.0853,0.00332,0.0,0.0329,0.818,119.968,203867,4
0.513,0.763,6,-7.425,0,0.057,0.0717,0.919,0.164,0.532,100.005,265665,4
0.381,0.746,10,-6.598,0,0.0407,0.000172,0.00101,0.111,0.263,141.518,172533,4
0.466,0.833,7,-4.215,1,0.304,0.0266,0.0,0.0327,0.661,88.785,313573,4
0.386,0.943,5,-3.033,0,0.185,0.000133,0.0,0.0928,0.402,148.008,239127,4
0.835,0.481,0,-7.188,0,0.387,0.0308,0.000501,0.0896,0.34,139.581,201000,4
0.901,0.512,1,-6.468,1,0.37,0.00273,0.0,0.0979,0.638,85.012,283387,4
0.294,0.995,1,-4.383,0,0.168,0.000489,0.331,0.128,0.0379,88.777,254400,4
0.501,0.813,11,-8.192,1,0.0639,0.0455,4.75e-05,0.131,0.495,136.59,138707,4
0.594,0.961,6,-5.443,0,0.338,0.0463,0.0,0.853,0.531,113.126,209987,4
0.273,0.821,9,-6.262,1,0.0433,0.00153,0.0157,0.18,0.739,179.882,299200,4
0.444,0.864,2,-6.29,1,0.0455,0.0505,0.00837,0.114,0.353,121.539,207093,4
0.659,0.678,0,-8.18,1,0.0313,0.157,6.69e-06,0.0784,0.647,106.186,258411,4
0.888,0.632,1,-3.872,1,0.219,0.19,0.0,0.101,0.662,91.979,266067,4
0.61,0.819,8,-8.323,1,0.0666,0.00381,7.92e-06,0.285,0.454,100.057,198920,4
0.547,0.733,9,-6.558,1,0.0433,0.0103,0.131,0.117,0.962,176.198,133440,4
0.418,0.547,1,-4.932,1,0.0295,0.211,0.0443,0.187,0.13,131.99,230720,4
0.526,0.762,0,-12.437,0,0.0342,0.000972,0.000116,0.338,0.505,136.203,214400,4
0.494,0.889,11,-4.175,0,0.0354,0.0414,0.791,0.338,0.628,128.052,256400,4
0.469,0.825,4,-6.612,0,0.0319,0.00554,0.00199,0.133,0.659,110.839,185693,4
0.847,0.829,1,-5.548,0,0.263,0.134,0.00106,0.113,0.605,97.087,246800,4
0.553,0.874,2,-3.685,0,0.0401,0.00388,0.00184,0.104,0.319,127.961,231413,4
0.727,0.974,4,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526,235213,4
0.494,0.836,7,-4.327,1,0.0531,0.0249,0.0,0.457,0.627,142.56,256560,4
0.412,0.829,4,-11.112,1,0.529,0.394,0.0,0.108,0.677,191.476,265533,4
0.449,0.901,6,-7.711,1,0.0526,0.141,0.0675,0.128,0.696,125.148,356400,4
0.851,0.849,1,-3.383,0,0.0828,0.497,2.05e-06,0.116,0.844,120.014,298773,4
0.401,0.93,2,-2.645,1,0.12,0.00392,0.0,0.0676,0.603,166.306,191213,4
0.321,0.199,7,-13.239,1,0.0321,0.506,0.0,0.137,0.208,112.015,238907,3
0.814,0.387,0,-9.867,1,0.0946,0.0248,0.0,0.131,0.792,93.961,225173,4
0.774,0.721,6,-6.662,0,0.0773,0.0126,6.49e-06,0.0952,0.654,118.048,263427,4
0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,269667,4
0.545,0.865,11,-5.708,0,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,233933,4
0.483,0.818,11,-7.666,1,0.0444,0.114,0.0,0.367,0.691,175.668,219467,4
0.892,0.607,9,-7.232,0,0.367,0.144,0.000314,0.0909,0.244,120.0,272720,4
0.439,0.942,2,-11.088,0,0.107,6.98e-05,0.153,0.302,0.324,108.095,230400,4
0.584,0.712,11,-4.311,0,0.0395,0.0112,1.05e-06,0.114,0.286,126.043,256560,4
0.73,0.868,5,-7.325,1,0.0288,0.0632,0.0661,0.318,0.923,148.217,350400,4
0.7,0.476,9,-9.195,1,0.0512,0.000166,0.000791,0.0823,0.323,201.77,304360,4
0.645,0.792,4,-7.34,0,0.036,0.0562,0.0121,0.119,0.666,90.565,232453,4
0.398,0.978,2,-4.001,1,0.133,0.000291,0.0,0.0947,0.441,177.797,220200,4
0.393,0.858,4,-2.868,0,0.0729,0.00359,0.0,0.102,0.56,176.042,228360,4
0.415,0.613,1,-10.193,1,0.0342,0.219,0.54,0.0878,0.567,165.008,242973,4
0.54,0.918,9,-4.338,1,0.0486,0.0576,9.68e-06,0.076,0.499,119.975,228747,4
