Title,track_id,artist,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
Long Time Gone - 2005 Remaster,1zMfsMdwkSLvuqcCVEZGlT,"Crosby, Stills & Nash",2pdvghEHZJtgSXZ7cvNLou,0.595,0.366,2,-11.848,1,0.0346,0.455,0.000479,0.11,0.362,106.604,audio_features,1zMfsMdwkSLvuqcCVEZGlT,spotify:track:1zMfsMdwkSLvuqcCVEZGlT,https://api.spotify.com/v1/tracks/1zMfsMdwkSLvuqcCVEZGlT,https://api.spotify.com/v1/audio-analysis/1zMfsMdwkSLvuqcCVEZGlT,256653,4,rock
Best of Both Worlds,5BNJqYUN3FI4krR901tdLd,Van Halen,2cnMpRsOVqtPMfq7YiFE6K,0.559,0.717,2,-14.802,1,0.0626,0.0505,0.000116,0.286,0.603,115.451,audio_features,5BNJqYUN3FI4krR901tdLd,spotify:track:5BNJqYUN3FI4krR901tdLd,https://api.spotify.com/v1/tracks/5BNJqYUN3FI4krR901tdLd,https://api.spotify.com/v1/audio-analysis/5BNJqYUN3FI4krR901tdLd,288827,4,rock
The Seeker - Edit,5orygsZ5Ga0jEOvftsXqw2,The Who,67ea9eGLXYMsO2eYQRui3w,0.318,0.657,2,-11.829,1,0.0358,0.101,3.01e-06,0.144,0.753,177.477,audio_features,5orygsZ5Ga0jEOvftsXqw2,spotify:track:5orygsZ5Ga0jEOvftsXqw2,https://api.spotify.com/v1/tracks/5orygsZ5Ga0jEOvftsXqw2,https://api.spotify.com/v1/audio-analysis/5orygsZ5Ga0jEOvftsXqw2,190373,4,rock
Roll Me Away,3MqgFVRerrpqWHdRopk247,Bob Seger,485uL27bPomh29R4JmQehQ,0.504,0.906,0,-5.376,1,0.0413,0.0325,9.57e-06,0.27,0.579,133.659,audio_features,3MqgFVRerrpqWHdRopk247,spotify:track:3MqgFVRerrpqWHdRopk247,https://api.spotify.com/v1/tracks/3MqgFVRerrpqWHdRopk247,https://api.spotify.com/v1/audio-analysis/3MqgFVRerrpqWHdRopk247,279573,4,rock
Crosstown Traffic,1ntxpzIUbSsizvuAy6lTYY,Jimi Hendrix,776Uo845nYHJpNaStv1Ds4,0.486,0.963,0,-5.586,0,0.129,0.248,2.39e-06,0.158,0.533,113.133,audio_features,1ntxpzIUbSsizvuAy6lTYY,spotify:track:1ntxpzIUbSsizvuAy6lTYY,https://api.spotify.com/v1/tracks/1ntxpzIUbSsizvuAy6lTYY,https://api.spotify.com/v1/audio-analysis/1ntxpzIUbSsizvuAy6lTYY,146573,4,rock
You Better Run,5qwdIO55XtliaaSs9ccptC,Pat Benatar,43mhFhQ4JAknA7Ik1bOZuV,0.605,0.621,9,-10.495,1,0.0532,0.102,0.000744,0.22,0.696,125.701,audio_features,5qwdIO55XtliaaSs9ccptC,spotify:track:5qwdIO55XtliaaSs9ccptC,https://api.spotify.com/v1/tracks/5qwdIO55XtliaaSs9ccptC,https://api.spotify.com/v1/audio-analysis/5qwdIO55XtliaaSs9ccptC,185027,4,rock
Angel Of Harlem,7iBav4v8maicL8cWKGxFhQ,U2,51Blml2LZPmy7TTiAg47vQ,0.519,0.694,0,-10.792,1,0.0264,0.104,2.3e-06,0.111,0.928,102.718,audio_features,7iBav4v8maicL8cWKGxFhQ,spotify:track:7iBav4v8maicL8cWKGxFhQ,https://api.spotify.com/v1/tracks/7iBav4v8maicL8cWKGxFhQ,https://api.spotify.com/v1/audio-analysis/7iBav4v8maicL8cWKGxFhQ,229267,4,rock
Glad - Remastered 2010,2xBLkPs9JUgDRL4cOxb0oN,Traffic,1CD77o9fbdyQFrHnUPUEsF,0.431,0.673,2,-9.341,0,0.0279,0.0977,0.117,0.0937,0.69,134.924,audio_features,2xBLkPs9JUgDRL4cOxb0oN,spotify:track:2xBLkPs9JUgDRL4cOxb0oN,https://api.spotify.com/v1/tracks/2xBLkPs9JUgDRL4cOxb0oN,https://api.spotify.com/v1/audio-analysis/2xBLkPs9JUgDRL4cOxb0oN,419720,4,rock
Freedom Rider - Remastered 2010,0eZK6mHnLp7A4EVdVJmqfs,Traffic,1CD77o9fbdyQFrHnUPUEsF,0.458,0.814,3,-7.3,1,0.0325,0.0194,0.0758,0.202,0.495,112.394,audio_features,0eZK6mHnLp7A4EVdVJmqfs,spotify:track:0eZK6mHnLp7A4EVdVJmqfs,https://api.spotify.com/v1/tracks/0eZK6mHnLp7A4EVdVJmqfs,https://api.spotify.com/v1/audio-analysis/0eZK6mHnLp7A4EVdVJmqfs,325987,4,rock
Too Many People - 1993 Digital Remaster,2k6rP8dR4udoI1wh03bL0M,Paul McCartney,4STHEaNw4mPZ2tzheohgXB,0.43,0.514,7,-13.368,1,0.0297,0.0431,0.0793,0.125,0.445,95.26,audio_features,2k6rP8dR4udoI1wh03bL0M,spotify:track:2k6rP8dR4udoI1wh03bL0M,https://api.spotify.com/v1/tracks/2k6rP8dR4udoI1wh03bL0M,https://api.spotify.com/v1/audio-analysis/2k6rP8dR4udoI1wh03bL0M,250427,4,rock
