danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.595,0.366,2,-11.848,1,0.0346,0.455,0.000479,0.11,0.362,106.604,256653,4
0.559,0.717,2,-14.802,1,0.0626,0.0505,0.000116,0.286,0.603,115.451,288827,4
0.318,0.657,2,-11.829,1,0.0358,0.101,3.01e-06,0.144,0.753,177.477,190373,4
0.504,0.906,0,-5.376,1,0.0413,0.0325,9.57e-06,0.27,0.579,133.659,279573,4
0.486,0.963,0,-5.586,0,0.129,0.248,2.39e-06,0.158,0.533,113.133,146573,4
0.605,0.621,9,-10.495,1,0.0532,0.102,0.000744,0.22,0.696,125.701,185027,4
0.519,0.694,0,-10.792,1,0.0264,0.104,2.3e-06,0.111,0.928,102.718,229267,4
0.431,0.673,2,-9.341,0,0.0279,0.0977,0.117,0.0937,0.69,134.924,419720,4
0.458,0.814,3,-7.3,1,0.0325,0.0194,0.0758,0.202,0.495,112.394,325987,4
0.43,0.514,7,-13.368,1,0.0297,0.0431,0.0793,0.125,0.445,95.26,250427,4
0.468,0.701,3,-11.924,1,0.045,0.0964,0.00226,0.183,0.777,91.694,220587,4
0.433,0.487,11,-14.596,0,0.0326,0.102,0.00455,0.353,0.822,149.574,159427,4
0.336,0.909,4,-11.019,1,0.039,0.204,0.0211,0.333,0.956,172.162,143227,4
0.278,0.747,5,-5.586,1,0.0423,0.0954,0.000241,0.268,0.383,158.035,251507,4
0.532,0.829,2,-5.659,1,0.058,0.018,8.37e-05,0.229,0.848,133.334,215707,4
0.419,0.721,2,-9.498,1,0.0792,0.25,4.17e-05,0.104,0.593,134.204,226720,4
0.494,0.706,7,-14.34,1,0.0485,0.522,0.894,0.154,0.486,135.752,397333,4
0.481,0.894,9,-7.213,1,0.0415,0.00602,0.0149,0.191,0.562,140.9,218269,4
0.369,0.759,0,-8.304,1,0.0602,0.124,0.0143,0.108,0.555,139.65,288453,4
0.607,0.905,4,-4.748,1,0.0427,0.00122,0.000276,0.0624,0.533,141.984,231200,4
0.701,0.316,7,-14.723,1,0.0843,0.496,0.0,0.121,0.889,136.73,284910,4
0.432,0.804,6,-11.243,0,0.048,0.00944,0.000339,0.381,0.508,153.362,255267,4
0.571,0.953,3,-5.002,1,0.0568,0.124,5.57e-06,0.35,0.682,135.599,169027,4
0.485,0.943,4,-4.423,1,0.0416,0.0639,0.179,0.144,0.889,141.982,271933,4
0.2,0.434,9,-14.274,0,0.0294,0.263,0.0,0.117,0.37,83.876,310933,4
0.602,0.872,9,-6.211,1,0.029,0.168,0.000705,0.0545,0.668,98.452,283280,4
0.609,0.777,4,-7.548,1,0.0487,0.0862,1.16e-05,0.278,0.852,122.612,242453,4
0.313,0.42,10,-9.806,1,0.0303,0.797,2.35e-06,0.126,0.339,178.711,152000,4
0.455,0.758,0,-11.361,1,0.0454,0.223,2.51e-06,0.0986,0.54,141.304,294000,4
0.316,0.737,2,-5.982,1,0.0376,0.0137,6.26e-06,0.1,0.685,134.879,187733,4
0.228,0.872,9,-5.479,0,0.0648,0.00672,0.0,0.242,0.278,91.724,246027,4
0.688,0.745,4,-10.323,1,0.0519,0.00285,0.238,0.114,0.688,128.556,249240,4
0.639,0.589,0,-8.099,1,0.0337,0.0178,0.00216,0.263,0.578,103.591,284387,4
0.409,0.628,2,-9.625,1,0.0578,0.00409,0.0193,0.51,0.801,141.225,580960,4
0.388,0.816,0,-4.279,0,0.0608,0.316,0.000981,0.097,0.6,132.42,290227,4
0.457,0.297,6,-12.511,1,0.0306,0.686,0.000107,0.109,0.333,120.021,354880,4
0.617,0.738,0,-4.863,1,0.0302,0.0404,0.0,0.0985,0.8,128.0,240027,4
0.515,0.554,7,-11.616,1,0.0784,0.0478,0.0,0.219,0.509,80.146,193880,4
0.676,0.491,9,-15.126,0,0.0641,0.442,0.0021,0.105,0.648,100.718,285707,4
0.644,0.814,11,-6.036,1,0.0385,0.00933,0.000617,0.107,0.965,138.999,196680,4
0.616,0.639,0,-8.124,1,0.0638,0.343,3.86e-06,0.232,0.914,151.772,269733,4
0.369,0.758,5,-5.871,1,0.0364,0.623,1.78e-05,0.531,0.663,140.71,288720,4
0.565,0.531,2,-16.233,1,0.0329,0.0033,0.000564,0.472,0.697,126.715,200560,4
0.282,0.656,8,-6.557,1,0.0302,0.0105,0.0,0.0892,0.242,139.352,251867,4
0.576,0.727,4,-9.973,0,0.05,0.702,0.0,0.324,0.751,173.854,141293,4
0.512,0.786,2,-7.691,1,0.0493,0.03,0.00146,0.114,0.81,128.501,216640,4
0.651,0.801,0,-7.34,1,0.0514,0.123,0.0,0.0825,0.776,133.769,200480,4
0.545,0.529,1,-11.609,0,0.049,0.00556,0.00109,0.226,0.688,132.542,187307,4
0.427,0.553,6,-11.434,0,0.0405,0.344,0.000956,0.227,0.674,109.629,240987,4
0.66,0.897,5,-5.558,1,0.0257,0.00316,2.25e-05,0.116,0.67,111.193,219133,4
0.502,0.551,3,-14.469,1,0.0322,0.323,0.0,0.409,0.842,120.687,206307,4
0.7,0.749,9,-11.262,1,0.035,0.171,0.35,0.0613,0.965,135.971,309893,4
0.485,0.328,7,-11.853,1,0.0254,0.00596,0.0032,0.325,0.138,79.766,233133,4
0.552,0.985,5,-3.081,1,0.0506,0.142,0.126,0.293,0.972,170.199,171920,4
0.768,0.852,4,-6.215,1,0.038,0.214,7.36e-05,0.0723,0.867,128.373,271240,4
0.601,0.531,0,-13.784,1,0.0431,0.475,0.229,0.058,0.818,117.676,390067,4
0.313,0.506,4,-9.555,1,0.0425,0.00514,4.24e-05,0.0877,0.453,163.998,276733,3
0.496,0.739,6,-7.193,1,0.0415,0.0211,0.00444,0.106,0.378,132.41,336000,4
0.522,0.812,2,-9.651,1,0.0383,0.185,0.182,0.0878,0.864,157.912,222320,4
0.357,0.969,1,-4.99,1,0.124,0.0134,0.0677,0.141,0.704,149.741,222293,3
0.587,0.675,5,-11.787,1,0.0366,0.0501,0.00243,0.479,0.664,116.954,309760,4
0.742,0.632,11,-12.054,0,0.0317,0.0204,0.00165,0.0853,0.965,117.137,204733,4
0.329,0.676,9,-9.036,0,0.0324,0.0366,0.0,0.18,0.529,78.217,273733,4
0.465,0.466,9,-8.098,1,0.0333,0.0836,0.0427,0.0911,0.555,164.315,558187,4
0.529,0.662,5,-11.745,1,0.0273,0.153,0.00542,0.099,0.302,93.93,320867,4
0.608,0.834,0,-3.584,1,0.0239,0.0176,1.8e-05,0.12,0.615,105.782,259227,4
